player_name,psi_log_avg,psi_log_sr,psi_combined,rank
MS Chapman,0.26232736897354736,0.2111024567303729,0.24525239822582254,288
TP Ura,0.2833779757385524,0.16774018686110334,0.24483204611273604,289
Tanzid Hasan,0.2678791686818506,0.19862349902695206,0.24479394546355107,290
BA Stokes,0.298688068008417,0.1356282970364819,0.244334811017772,291
DT Christian,0.27291921327695273,0.18629760793460162,0.24404534482950235,292
GA Hick,0.33049437849731855,0.06961994698805683,0.243536234660898,293
SN Thakur,0.23399365921794557,0.2605989677005088,0.24286209537879996,294
A Flower,0.3474888026046303,0.029574232130223897,0.24151727911316148,295
Naeem Islam,0.37874194246574533,-0.03508544609648721,0.2407994796116678,296
M Labuschagne,0.3385627807746893,0.044251843359246375,0.24045913496954166,297
Salman Agha,0.3106080414950068,0.0995232974786954,0.24024646015623632,298
