player_name,psi_log_econ,psi_log_avg,psi_combined,rank
Hasan Mahmud,-0.023231110342087503,0.0224428663431183,-0.007218207448049699,419
N Vanua,0.01271296177301056,0.004651840790418963,-0.007338881117949496,420
Mohammad Asif,0.0022108541357948788,0.009919508789000648,-0.007349957237932058,421
SR Waugh,-0.0348197235657356,0.028784255086811556,-0.007582928869295837,422
Naseem Shah,-0.042080462285803984,0.032434202823384314,-0.007595981120321549,423
Mirwais Ashraf,-0.08326671164851941,0.05334079934472431,-0.0078049623469764046,424
LM Jongwe,0.029568573177850447,-0.0030405074043393047,-0.00782918612305728,425
Abdul Razzaq,-0.002676948009979568,0.0133222759373229,-0.007989201288222078,426
Shahid Afridi,-0.0012672675618364718,0.013291219546310521,-0.008438390510261523,427
SB Styris,-0.011495916252834946,0.019039964135000767,-0.008861337339055529,428
Mehidy Hasan Miraz,-0.05393422344644044,0.04075945046453155,-0.009194892494207553,429
SR Thompson,-0.029095824574634676,0.02838750108181013,-0.009226392529661861,430
RM Ellison,-0.029831896569730943,0.028810969113257933,-0.009263347218928308,431
M Dillon,0.020958611997660765,0.0036349142599616403,-0.009409480172528016,432
EE Hemmings,-0.0887534967735584,0.05924467352695637,-0.009911950093451449,433
Tanwir Afzal,-0.04914735860529783,0.039462304615639536,-0.009925750208660414,434
MC Sorensen,0.050498716845424875,-0.010301470068577562,-0.009965258902756584,435
J Botha,-0.0007177179569310078,0.015752460309773373,-0.01026240088753858,436
D Parashar,-0.025392274992518216,0.028718190772494007,-0.010681368850823264,437
Azhar Mahmood,-0.049592933600163085,0.04085670347392293,-0.010706824449227591,438
Samiullah Shinwari,0.0012633811927524909,0.01597448073403493,-0.011070780886940782,439
M Kartik,-0.04150021343743165,0.03740608830161764,-0.011103987721934543,440
JE Taylor,0.030994518971729303,0.001243554353283371,-0.011160542559432015,441
CT Tremlett,-0.025980176308794112,0.029747017952799895,-0.01117128653226856,442
JDP Oram,-0.06665765201425254,0.05018276713743101,-0.011235960753536492,443
Haris Sohail,0.01706587848702165,0.00857455722485401,-0.011404997645576556,444
G Coetzee,0.10470881761696563,-0.03508363365628907,-0.011513850101462497,445
T Thushara,0.07337470203161857,-0.019404202489509963,-0.01152209901753288,446
MP Bicknell,0.04700543463029486,-0.005992991057330156,-0.011673150838544847,447
R Trumpelmann,0.0701722590113883,-0.01741006942093742,-0.011784040056504484,448
B Evans,-0.00099796802298032,0.019139622148354477,-0.012427092091242877,449
SD Anurasiri,-0.11433508516944331,0.07617946336782147,-0.012674613855399877,450
VC Drakes,0.03975394454163739,-0.0006040607970579039,-0.01284860764917386,451
AJ Bichel,0.051180053585058664,-0.005732531441386554,-0.013238330234095185,452
HDPK Dharmasena,-0.07773001602020588,0.05888934071699247,-0.013349555137926355,453
PL Symcox,-0.047983409907155244,0.04436946722343948,-0.013585174846574571,454
CL Hooper,-0.08354174290068767,0.062254195533223616,-0.013655549388586522,455
DR Pringle,-0.03717461309190514,0.039477337853920366,-0.013926687538645198,456
MN Hart,-0.030502423797874424,0.036182796576732866,-0.013954389785197105,457
T Lungameni,0.017760124767907573,0.012369648569234287,-0.01416647396879205,458
CL Cairns,0.05027083586821631,-0.0031705940197676234,-0.014643215942893688,459
PM Seelaar,0.010647378334653011,0.01701604640687568,-0.014893157049468123,460
JTC Vaughan,-0.048921670794957656,0.04680576125536684,-0.014896617238592008,461
BTJ Wheal,0.0027657011686073756,0.02103607327790966,-0.014945949241475564,462
RP Burl,0.03148589133201401,0.006761503692121164,-0.015002966238752113,463
KS Williamson,0.04854291576608116,-0.0014235117693738434,-0.015231964075777824,464
MA Wood,0.000417096451848291,0.02267553110653429,-0.015256052888305624,465
Kashif Daud,-0.02289844660519822,0.03449453471250917,-0.01536354093994004,466
AM Phangiso,0.0338584381308339,0.0067463523198543545,-0.015783714256847537,467
LE Plunkett,0.027170335369567495,0.010223226102968778,-0.01587226252516835,468
Shoriful Islam,-0.03377646752353834,0.04102895700742731,-0.016093815497105424,469
DA Marillier,0.053936816536838954,-0.0028265837874618754,-0.016094549653971734,470
C Bosch,0.04865966965099318,-2.305694528794019e-05,-0.016204518586805768,471
HA Gomes,-0.07610305633040386,0.06248168439450052,-0.016286770819532392,472
Mohammad Nawaz (3),0.059749087393019575,-0.005430853482976884,-0.016295793475688602,473
SB O'Connor,0.06703325117105392,-0.008395855726806772,-0.01674717990581346,474
Ahmed Raza,-0.048700331837711296,0.049800481122734115,-0.016966876802585646,475
EA Brandes,0.012468576496814031,0.01938890069272672,-0.017082125960755822,476
GD Drummond,-0.04688600623397832,0.049189511947765725,-0.017164339220517712,477
S Mahmood,-0.00936806950794919,0.03043119626966509,-0.017164774343793664,478
YS Chahal,0.0751689085233252,-0.01121323819800804,-0.01758081070910304,479
DAJ Bracewell,-0.008244452976990016,0.030972434746288184,-0.017900138838528784,480
MJ Clarke,0.033309302102571374,0.01101274472577789,-0.018444930518042385,481
DJ Bravo,0.04262095496794012,0.006470381439957026,-0.01852057261595139,482
B Shikongo,0.04691549845151733,0.004400871970029581,-0.0185724141305255,483
Aamer Nazir,0.08726290674332282,-0.015634304945636432,-0.018664765617349987,484
PT Collins,0.02342321989793464,0.01672422753128564,-0.018957224986835306,485
H Osinde,-0.012104142093943743,0.03452554711080859,-0.018982317375891147,486
L Sivaramakrishnan,-0.01577279960307792,0.03639095180236132,-0.019003034667214907,487
Mohammad Sami,0.03315201403291,0.011968798649372286,-0.01902987044388486,488
AJ Hosein,0.031497498972568226,0.01346113584502531,-0.019473256887539616,489
