player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
846,Mohammad Rizwan,0.7502028855948174,0.15510718593475378,0.4526550357647856,27
1049,RR Rossouw,0.6437860519541736,0.26036932825941494,0.45207769010679427,28
1145,SR Mukkamalla,0.7116791988262166,0.1909147108214785,0.4512969548238475,29
1152,SS Iyer,0.6428004869131968,0.25254716028305113,0.44767382359812397,30
973,PP Shaw,0.505790235228596,0.3888241876068312,0.44730721141771357,31
952,PD Salt,0.5589287644692608,0.33110224400178034,0.44501550423552055,32
521,Ishan Kishan,0.6252285919089227,0.263387128393177,0.44430786015104984,33
1292,V Sehwag,0.5442488496153477,0.34038989627347555,0.4423193729444116,34
416,GD Phillips,0.5774352903243758,0.3004136665863985,0.4389244784553872,35
341,DP Conway,0.7052194022185638,0.16995582224435615,0.43758761223146,36
635,KC Sangakkara,0.744794103439324,0.12895149878171047,0.4368728011105172,37
1056,RT Ponting,0.6905543847239044,0.1770123705377595,0.43378337763083197,38
561,JH Kallis,0.7911822993240687,0.07409127961737086,0.43263678947071976,39
461,HG Munsey,0.6533411390727701,0.20967098949165172,0.43150606428221094,40
167,BC Lara,0.6950525709513083,0.16745766379516105,0.4312551173732347,41
777,MK Pandey,0.6871868678143893,0.17420506012178322,0.4306959639680863,42
30,AC Gilchrist,0.5462993667707716,0.313478440337371,0.4298889035540713,43
380,F du Plessis,0.7076741207277475,0.14428999336141451,0.42598205704458103,44
1080,S Dhawan,0.6225372992075847,0.22389097103320077,0.42321413512039274,45
545,JC Buttler,0.5764843783669237,0.26834932514645293,0.4224168517566883,46
939,P Nissanka,0.658797035099764,0.1859516454659756,0.4223743402828698,47
578,JM Bairstow,0.6018765190772226,0.24245546135283289,0.42216599021502776,48
1143,SPD Smith,0.6807110943597823,0.16257733744775626,0.42164421590376927,49
52,AJ Finch,0.6416736708505237,0.20080784228349177,0.42124075656700777,50
411,GC Smith,0.6686477139511184,0.17335709039074054,0.4210024021709295,51
1000,R Ravindra,0.5660296981676031,0.2706987977682672,0.41836424796793514,52
152,B McMullen,0.623810430398219,0.20661142378024017,0.4152109270892296,53
62,AK Markram,0.5754221201548839,0.2514184733243267,0.41342029673960534,54
164,BB McCullum,0.5759094639280068,0.2470284341106177,0.41146894901931225,55
701,LRPL Taylor,0.6541827092637317,0.16559595354694426,0.40988933140533795,56
280,D Brevis,0.4205402909339705,0.3912655987688474,0.405902944851409,57
508,Ibrahim Zadran,0.7060537597027092,0.1045044001397591,0.4052790799212342,58
172,BJ Bennett,0.5790147283333755,0.2284598416999935,0.4037372850166845,59
853,Mohammad Yousuf,0.7049259998952908,0.10231053305505082,0.4036182664751708,60
127,Anshuman Rath,0.6957958030395551,0.10645188591283444,0.40112384447619476,61
828,Misbah-ul-Haq,0.7527905727225445,0.046320072968548245,0.39955532284554635,62
34,AD Hales,0.5852690443129742,0.21082173099803045,0.39804538765550235,63
329,DL Chahar,0.47740114332455885,0.3181872234902531,0.39779418340740597,64
319,DJ Malan,0.6581988791545066,0.13574822912443998,0.3969735541394733,65
72,AM Tribe,0.6933424276353697,0.10044700562715692,0.3968947166312633,66
105,Abid Ali,0.6462556963890926,0.14710057147309188,0.39667813393109225,67
1047,RR Pant,0.5080724280599437,0.285126688312848,0.3965995581863958,68
1256,TM Dilshan,0.5960366248921898,0.19395270865353675,0.39499466677286327,69
351,DS Lehmann,0.6132326133742462,0.1759004701290463,0.39456654175164624,70
1101,SA Yadav,0.49384872822317183,0.2938626983976345,0.39385571331040314,71
