player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank,avg_multiplier,sr_multiplier
1094,S Shrivastava,-0.0358882903235908,-0.2236605117630833,-0.09847903080342163,899,0.9647480591572816,0.7995865385217249
625,K Pierre,-0.1036962567601588,-0.0892796134875577,-0.09889070900262509,900,0.9014990800905829,0.9145898061727221
23,AB Agarkar,-0.1889152148678076,0.0807590695241212,-0.09902378673716467,901,0.8278566936584942,1.0841096700406005
1338,Yasir Arafat,-0.1496345703391506,0.0021769505916157,-0.09903073002889516,902,0.8610225621249452,1.0021793218689605
1225,T Kaitano,-0.0625515217846495,-0.173484301407184,-0.099529114992161,903,0.9393646638227685,0.8407303493417069
948,PAJ DeFreitas,-0.203605589587285,0.1035345329708651,-0.10122554873456831,904,0.8157840614724952,1.1090840926724288
243,CJ Jordan,-0.2129294216348994,0.1199654065392342,-0.10196447891018819,905,0.8082131775682828,1.1274578482359112
510,Ijaz Faqih,-0.0852419108224892,-0.1369009773579662,-0.10246159966764819,906,0.9182901132131622,0.8720565752028618
1247,TG Southee,-0.2927107949058941,0.2779308151079704,-0.10249692490127259,907,0.7462379253021264,1.3203948426743282
825,Mehrab Hossain,-0.0670728867475584,-0.1744228669517933,-0.10285621348230338,908,0.9351270404842605,0.8399416389895863
44,AFG Griffith,-0.0522658217854894,-0.2057600738169453,-0.10343057246264137,909,0.9490765480858858,0.8140283595724073
1062,RWT Key,-0.0675814376659876,-0.1766004409825343,-0.10392110543816983,910,0.9346516016716433,0.8381145938741439
906,NS Poonia,-0.1051005694269542,-0.1044505435892736,-0.10488389414772732,911,0.9002339820178391,0.9008193475968729
969,PM Seelaar,-0.1288147784659513,-0.0584371128823621,-0.10535555660475489,912,0.8791367855302886,0.943237556025699
190,BR Hartland,-0.0421395898319625,-0.2350227491241267,-0.1064339762626839,913,0.9587359414424487,0.790552865038914
259,CO Browne,-0.1352353685104283,-0.0516817685585352,-0.10738416852646393,914,0.873510290674668,0.9496310212115693
1073,Rishad Hossain,-0.2894225947313258,0.2553071566158496,-0.10784601094893402,915,0.748695743663209,1.2908580555778955
823,Mashrafe Mortaza,-0.2603766930104168,0.1969755464609854,-0.10792594651994943,916,0.770761190758849,1.2177142629185869
1177,Sandeep Goud,-0.1168593560919812,-0.0930470638101227,-0.10892192533136169,917,0.8897103167002188,0.9111506170673895
916,Nangeyalia Kharote,-0.1530782356886615,-0.0239802152157125,-0.11004556219767848,918,0.8580625880678086,0.9763050255511586
121,Alok Kapali,-0.1099625678450377,-0.1108978811042888,-0.11027433893145473,919,0.8958676689263153,0.8950301437522906
544,JC Archer,-0.2747948121811643,0.2125982460301138,-0.1123304594440716,920,0.7597279941630435,1.2368876268951252
963,PJ Wiseman,-0.0898621806199638,-0.1622799704479814,-0.11400144389596967,921,0.9140571513806642,0.8502031394623644
975,PR Downton,-0.0911707239928486,-0.1638097223178564,-0.11538372343451786,922,0.9128618501750807,0.848903533910448
1242,TB Sole,-0.300511137038459,0.2511294800819386,-0.1166309313316598,923,0.7404396578073573,1.2854765171608666
1179,Saqib Zulfiqar,-0.1531876625592367,-0.0457795514009087,-0.11738495883979401,924,0.8579686981011749,0.9552525230614247
61,AJ Tye,-0.2589800497889241,0.1608164694637131,-0.11904787670471169,925,0.7718384212295245,1.1744693980340926
1352,Ziaur Rahman,-0.2770713841058596,0.1962668951216077,-0.11929195769670382,926,0.7580003859993989,1.2168516337629436
1216,Sohail Tanvir,-0.2300128278307035,0.0941501515457369,-0.12195850137189003,927,0.7945234104261641,1.0987247087455094
315,DJ Capel,-0.1089160657363208,-0.1482005049054408,-0.12201087879269412,928,0.8968056870643505,0.8622582106075577
156,BA Carse,-0.2252900876041222,0.0781614653199491,-0.1241395699627651,929,0.7982846126972724,1.0812972365798292
606,JTC Vaughan,-0.0737306868839539,-0.2251220514940146,-0.12419447508730747,930,0.928921830990035,0.7984187646092159
1139,SP Khakurel,-0.0836577518362901,-0.2064904128799568,-0.124601972184179,931,0.9197459836085654,0.8134340599095582
1045,RP Snell,-0.2395803066600593,0.1037959477880226,-0.12512155517736534,932,0.7869580728298468,1.1093740615871612
548,JD Nel,-0.1905271826145161,0.0031803314385977,-0.12595801126347816,933,0.8265232903597063,1.0031853940581408
50,AIC Dodemaide,-0.0962314825543172,-0.1881667475135744,-0.1268765708740696,934,0.9082537468355298,0.8284765493096036
1123,SK Warne,-0.2252250386711995,0.068736226981401,-0.12723795012033268,935,0.7983365419484498,1.0711536304551788
617,Jay Odedra,-0.1236206972857078,-0.1345897699264313,-0.12727705483261564,936,0.8837149728083553,0.8740744097590818
274,CT Mutombodzi,-0.1765355191974942,-0.0293470250297892,-0.12747268780825918,937,0.8381690075359433,0.9710794171244
1081,S Elworthy,-0.2336940412252093,0.0830762429031636,-0.12810394651575166,938,0.7916039770309645,1.0866246528082337
1043,RP Burl,-0.1898868876482002,-0.0079814623148241,-0.12925174587040816,939,0.8270526785262692,0.9920503049828372
748,MDK Perera,-0.2050484939372921,0.0216508325900083,-0.1294820517615253,940,0.8146078119134094,1.02188691256348
1008,RC Irani,-0.1949299870119966,-0.0031284794630379,-0.1309961511623437,941,0.8228922691858018,0.9968764091295548
819,Mahedi Hasan,-0.177789692910448,-0.0539699668758334,-0.1365164508989098,942,0.8371184569238654,0.9474605612751831
922,Nasum Ahmed,-0.2180257207368449,0.0252898053842143,-0.13692054536315848,943,0.8041047592336691,1.0256123054276858
827,Mirwais Ashraf,-0.2106892729061833,0.0074289140545429,-0.13798321058594124,944,0.8100257247201561,1.0074565768957524
689,LA Dawson,-0.2271122018960521,0.0364176653596544,-0.1392689128108166,945,0.7968313712834995,1.037088912159855
187,BP Julian,-0.2490656699729538,0.0800645089419558,-0.1393556103346506,946,0.7795287800698831,1.0833569516315744
116,Akram Raza,-0.1663941999137791,-0.0866373182255595,-0.13980857268437255,947,0.8467123944410383,0.9170096180050424
771,MJ McClenaghan,-0.2162657309081593,0.0126039857761039,-0.13997582534673822,948,0.8055212215451166,1.0126837507715
575,JL Pattinson,-0.1497324696357033,-0.1264914628105025,-0.14198546736063636,949,0.8609382727477999,0.8811816723263222
358,DW Fleming,-0.2267933619216771,0.0253043986743055,-0.14276077505634957,950,0.7970854734843176,1.0256272725947897
626,K Rabada,-0.247848637231611,0.0660685675784151,-0.14320956896160228,951,0.7804780696591312,1.0682999653963858
1036,RM Haq,-0.1138103599639558,-0.2078281618240336,-0.1451496272506484,952,0.8924271797586264,0.812346616879892
958,PJ Cummins,-0.240880005616503,0.0457476525922229,-0.14533745288026104,953,0.7859359286275867,1.0468102177792162
